CENSO,TAREA,Fecha-Inicio,Fecha-Fin,Progreso,Observación
PROGRESO TOTAL,,25-06-2025,01-02-2026,1%,Aquí podríamos poner comentarios extras para no tener que andar agregando columnas innecesarias
Censo Nacional de Gobiernos Estatales,Integración de información preliminar,16-06-2025,08-08-2025,8%,
Censo Nacional de Gobiernos Estatales,Revisón primaria y justes de información preliminar,14-07-2025,29-08-2025,,
Censo Nacional de Gobiernos Estatales,Revisión OC y liberación de información definitiva.,11-08-2025,19-09-2025,,
Censo Nacional de Gobiernos Estatales,Recuperación de firmas y formalización de cuestionarios.,25-08-2025,10-10-2025,,
Censo Nacional de Gobiernos Estatales,Difusión de resultados,04-12-2025,05-12-2025,,
Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la CDMX,Integración de información preliminar,30-06-2025,08-08-2025,,
Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la CDMX,Revisón primaria y justes de información preliminar,30-06-2025,08-08-2025,,
Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la CDMX,Revisión OC y liberación de información definitiva.,14-07-2025,05-09-2025,,
Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la CDMX,Recuperación de firmas y formalización de cuestionarios.,04-08-2025,26-09-2025,,
Censo Nacional de Gobiernos Municipales y Demarcaciones Territoriales de la CDMX,Difusión de resultados,01-02-2026,15-02-2026,,
Censo Nacional de Sistemas Penitenciarios Estatales,Integración de información preliminar,25-06-2025,02-07-2025,,
Censo Nacional de Sistemas Penitenciarios Estatales,Revisón primaria y justes de información preliminar,25-06-2025,02-07-2025,,
Censo Nacional de Sistemas Penitenciarios Estatales,Revisión OC y liberación de información definitiva.,25-06-2025,02-07-2025,,
Censo Nacional de Sistemas Penitenciarios Estatales,Recuperación de firmas y formalización de cuestionarios.,25-06-2025,02-07-2025,,
Censo Nacional de Sistemas Penitenciarios Estatales,Difusión de resultados,29-06-2025,02-07-2025,,
Censo Nacional de Seguridad Pública Estatal,Integración de información preliminar,25-06-2025,02-07-2025,,
Censo Nacional de Seguridad Pública Estatal,Revisón primaria y justes de información preliminar,25-06-2025,10-07-2025,,
Censo Nacional de Seguridad Pública Estatal,Revisión OC y liberación de información definitiva.,25-06-2025,10-07-2025,,
Censo Nacional de Seguridad Pública Estatal,Recuperación de firmas y formalización de cuestionarios.,25-06-2025,10-07-2025,,
Censo Nacional de Seguridad Pública Estatal,Difusión de resultados,25-06-2025,02-07-2025,,
Censo Nacional de Procuración de Justicia Estatal,Integración de información preliminar,25-06-2025,02-07-2025,,
Censo Nacional de Procuración de Justicia Estatal,Revisón primaria y justes de información preliminar,25-06-2025,10-07-2025,,
Censo Nacional de Procuración de Justicia Estatal,Revisión OC y liberación de información definitiva.,25-06-2025,28-06-2025,88%,
Censo Nacional de Procuración de Justicia Estatal,Recuperación de firmas y formalización de cuestionarios.,25-06-2025,10-07-2025,,
Censo Nacional de Procuración de Justicia Estatal,Difusión de resultados,25-06-2025,02-07-2025,,
Censo Nacional de Impartición de Justicia Estatal,Integración de información preliminar,25-06-2025,02-07-2025,,
Censo Nacional de Impartición de Justicia Estatal,Revisón primaria y justes de información preliminar,25-06-2025,02-07-2025,,
Censo Nacional de Impartición de Justicia Estatal,Revisión OC y liberación de información definitiva.,25-06-2025,10-07-2025,,
Censo Nacional de Impartición de Justicia Estatal,Recuperación de firmas y formalización de cuestionarios.,25-06-2025,10-07-2025,,
Censo Nacional de Impartición de Justicia Estatal,Difusión de resultados,25-06-2025,10-07-2025,,
